[0, 1, 15, 18, 21, 24, 38, 39, 41, 51, 52, 62]
[0, 1, 14, 19, 20, 25, 38, 39, 40, 50, 53, 63]
[0, 2, 15, 17, 21, 27, 36, 38, 41, 51, 55, 61]
[0, 2, 13, 19, 23, 25, 36, 38, 43, 49, 53, 63]
[0, 3, 14, 17, 20, 27, 37, 38, 40, 50, 55, 61]
[0, 3, 13, 18, 23, 24, 37, 38, 43, 49, 52, 62]
[0, 4, 14, 17, 19, 28, 34, 38, 40, 53, 55, 58]
[0, 4, 10, 21, 23, 24, 34, 38, 44, 49, 51, 62]
[0, 5, 15, 17, 18, 28, 35, 38, 41, 52, 55, 58]
[0, 5, 10, 20, 23, 25, 35, 38, 44, 49, 50, 63]
[0, 7, 13, 18, 19, 28, 33, 38, 43, 52, 53, 58]
[0, 7, 10, 20, 21, 27, 33, 38, 44, 50, 51, 61]
Done. Count: 12.
